Source line,Signified Entity,Greek,Translation,Epic,Book,Line,Type,Subtype,Relative,Category,Speech,Speaker,MANTO ID,MANTO Link
143,Leto,ἠΰκομος,fair-haired,Iliad,1,36,epithet,,,Deity Female,Narration,Narrator,,
145,Apollo,ἀργυρότοξʼ,of the silver bow,Iliad,1,37,epithet,,,Deity Male,Direct-Prayer,Chryses,,
146,Cilla,ζαθέην,sacred,Iliad,1,38,epithet,,,Place,Direct-Prayer,Chryses,,
147,Apollo,Σμινθεῦ,Sminthian,Iliad,1,39,epithet,,,Deity Male,Direct-Prayer,Chryses,,
153,Apollo,Φοῖβος,Phoebus,Iliad,1,43,epithet,,,Deity Male,Narration,Narrator,,
157,Nyx,νυκτὶ,night,Iliad,1,47,epithet,,,Deity Female,Narration,Narrator,,
164,Apollo,θεοῖο,god,Iliad,1,53,descriptor,,,Deity Male,Narration,Narrator,,
166,Hera,θεὰ,goddess,Iliad,1,55,descriptor,,,Deity Female,Narration,Narrator,,
166,Hera,λευκώλενος,white-armed,Iliad,1,55,epithet,,,Deity Female,Narration,Narrator,,
169,Achilles,πόδας ὠκὺς,swift-footed,Iliad,1,58,epithet,,,Human Male,Narration,Narrator,,
171,Agamemnon,Ἀτρεΐδη,of Atreus,Iliad,1,59,epithet,patronym,Atreus,Human Male,Direct,Achilles,,
176,Apollo,Φοῖβος,Phoebus,Iliad,1,64,epithet,,,Deity Male,Direct,Achilles,,
184,Calchas,Θεστορίδης,of Thestor,Iliad,1,69,epithet,patronym,Thestor,Human Male,Narration,Narrator,,
184,Calchas,οἰωνοπόλων ὄχʼ ἄριστος,far the best of augurs,Iliad,1,69,epithet,,,Human Male,Narration,Narrator,,
187,Apollo,Φοῖβος,Phoebus,Iliad,1,72,epithet,,,Deity Male,Narration,Narrator,,
190,Achilles,Διῒ φίλε,dear to Zeus,Iliad,1,74,descriptor,,,Human Male,Direct,Calchas,,
191,Apollo,ἑκατηβελέταο ἄνακτος,lord who strikes from afar,Iliad,1,75,epithet,,,Deity Male,Direct,Calchas,,
202,Achilles,πόδας ὠκὺς,swift-footed,Iliad,1,84,epithet,,,Human Male,Narration,Narrator,,
205,Apollo,Διῒ φίλον,dear to Zeus,Iliad,1,86,descriptor,,,Deity Male,Direct,Achilles,,
208,ship,κοίλῃς,hollow,Iliad,1,89,epithet,,,Object,Direct,Achilles,,
210,Agamemnon,πολλὸν ἄριστος Ἀχαιῶν,far the best of Achaeans,Iliad,1,91,descriptor,,,Human Male,Direct,Achilles,,
213,Calchas,ἀμύμων,peerless,Iliad,1,92,descriptor,,,Human Male,Narration,Narrator,,
218,Apollo,ἑκηβόλος,far-shooting,Iliad,1,96,epithet,,,Deity Male,Direct,Calchas,,
220,Chryseis,ἑλικώπιδα,bright-eyed,Iliad,1,98,descriptor,,,Human Female,Direct,Calchas,,
220,Chryseis,κούρην,maiden,Iliad,1,98,descriptor,,,Human Female,Direct,Calchas,,
226,Agamemnon,ἥρως,hero,Iliad,1,102,descriptor,,,Human Male,Narration,Narrator,,
226,Agamemnon,Ἀτρεΐδης,of Atreus,Iliad,1,102,epithet,patronym,Atreus,Human Male,Narration,Narrator,,
226,Agamemnon,εὐρὺ κρείων,wide-ruling,Iliad,1,102,epithet,,,Human Male,Narration,Narrator,,
231,Calchas,μάντι κακῶν,phrophet of evil,Iliad,1,106,descriptor,,,Human Male,Direct,Agamemnon,,
235,Apollo,ἑκηβόλος,far-shooting,Iliad,1,110,epithet,,,Deity Male,Direct,Agamemnon,,
236,Chryseis,κούρης Χρυσηΐδος,daughter of Chryses,Iliad,1,111,epithet,lineage,Chryses,Human Female,Direct,Agamemnon,,
239,Klytemnestra,κουριδίης ἀλόχου,wedded wife,Iliad,1,114,descriptor,,,Human Female,Direct,Agamemnon,,
248,Achilles,ποδάρκης,swift-footed,Iliad,1,121,descriptor,,,Human Male,Narration,Narrator,,
248,Achilles,δῖος,divine,Iliad,1,121,epithet,,,Human Male,Narration,Narrator,,
250,Agamemnon,Ἀτρεΐδη,of Atreus,Iliad,1,122,epithet,patronym,Atreus,Human Male,Direct,Achilles,,
250,Agamemnon,κύδιστε,most glorious,Iliad,1,122,descriptor,,,Human Male,Direct,Achilles,,
250,Agamemnon,φιλοκτεανώτατε πάντων,most covetous of all,Iliad,1,122,descriptor,,,Human Male,Direct,Achilles,,
251,Achaeans,μεγάθυμοι,great-hearted,Iliad,1,123,epithet,,,Human Group,Direct,Achilles,,
255,Apollo,θεῷ,god,Iliad,1,127,descriptor,,,Deity Male,Direct,Achilles,,
257,Troy,εὐτείχεον,well-walled,Iliad,1,129,descriptor,,,Location,Direct,Achilles,,
261,Agamemnon,κρείων,lord,Iliad,1,130,epithet,,,Human Male,Narration,Narrator,,
263,Achilles,ἀγαθός,"good, noble",Iliad,1,131,descriptor,,,Human Male,Direct,Agamemnon,,
263,Achilles,θεοείκελʼ,godlike,Iliad,1,131,descriptor,,,Human Male,Direct,Agamemnon,,
267,Achaeans,μεγάθυμοι,great-hearted,Iliad,1,135,descriptor,,,Human Group,Direct,Agamemnon,,
273,sea,δῖαν,divine,Iliad,1,141,epithet,,,Nature,Direct,Agamemnon,,
275,Chryseis,Χρυσηΐδα,of Chryses,Iliad,1,143,epithet,patronym,Chryses,Human Female,Direct,Agamemnon,,
275,Chryseis,καλλιπάρῃον,,Iliad,1,143,descriptor,,,Human Female,Direct,Agamemnon,,
277,Odysseus,δῖος,divine,Iliad,1,145,epithet,,,Human Male,Direct,Agamemnon,,
278,Achilles,Πηλεΐδη,of Peleus,Iliad,1,146,epithet,patronym,Peleus,Human Male,Direct,Agamemnon,,
278,Achilles,πάντων ἐκπαγλότατʼ ἀνδρῶν,most fearful of all men,Iliad,1,146,descriptor,,,Human Male,Direct,Agamemnon,,
279,Apollo,ἑκάεργον,the far-working (one),Iliad,1,147,epithet,,,Deity Male,Direct,Achilles,,
282,Achilles,πόδας ὠκὺς,swift-footed,Iliad,1,148,epithet,,,Human Male,Narration,Narrator,,
290,Phthia,ἐριβώλακι,deep-soiled,Iliad,1,155,epithet,,,Location,Direct,Achilles,,
290,Phthia,βωτιανείρῃ,,Iliad,1,155,epithet,,,Location,Direct,Achilles,,
293,Agamemnon,ἀναιδὲς,shameless (one),Iliad,1,158,descriptor,,,Human Male,Direct,Achilles,,
294,Agamemnon,κυνῶπα,dog-eyed,Iliad,1,159,descriptor,,,Human Male,Direct,Achilles,,
297,sons,υἷες Ἀχαιῶν,sons of Achaeans,Iliad,1,162,epithet,lineage,Achaeans,Human Group,Direct,Achilles,,
300,battle,πολυάϊκος,furious,Iliad,1,165,epithet,,,Object,Direct,Achilles,,
305,ship,κορωνίσιν,curved,Iliad,1,170,epithet,,,Object,Direct,Achilles,,
310,Agamemnon,ἄναξ ἀνδρῶν,lord of men,Iliad,1,172,epithet,,,Human Male,Narration,Narrator,,
314,Zeus,μάλιστα δὲ μητίετα,lord of counsel,Iliad,1,175,epithet,,,Deity Male,Direct,Agamemnon,,
315,Agamemnon,διοτρεφέων,fostered of Zeus,Iliad,1,176,epithet,lineage,Zeus,Human Male,Direct,Agamemnon,,
321,Chryseis,Χρυσηΐδα,of Chryses,Iliad,1,182,epithet,patronym,Chryses,Human Female,Direct,Agamemnon,,
321,Apollo,Φοῖβος,Phoebus,Iliad,1,182,epithet,,,Deity Male,Direct,Agamemnon,,
323,Briseis,καλλιπάρῃον,fair-cheeked,Iliad,1,184,epithet,,,Human Female,Direct,Agamemnon,,
329,Achilles,Πηλεΐωνι,of Peleus,Iliad,1,188,epithet,patronym,Peleus,Human Male,Narration,Narrator,,
331,sword,ὀξὺ,sharp,Iliad,1,190,epithet,,,Object,Narration,Narrator,,
332,Agamemnon,Ἀτρεΐδην,of Atreus,Iliad,1,191,epithet,patronym,Atreus,Human Male,Narration,Narrator,,
336,Ouranos,οὐρανόθεν,heaven,Iliad,1,195,epithet,,,Deity Male,Narration,Narrator,,
336,Hera,θεὰ,goddess,Iliad,1,195,descriptor,,,Deity Female,Narration,Narrator,,
336,Hera,λευκώλενος,white-armed,Iliad,1,195,epithet,,,Deity Female,Narration,Narrator,,
338,Achilles,Πηλεΐωνα,of Peleus,Iliad,1,197,epithet,patronym,Peleus,Human Male,Narration,Narrator,,
341,Athena,Παλλάδʼ,Pallas,Iliad,1,200,epithet,,,Deity Female,Narration,Narrator,,
341,Athena,δεινὼ δέ οἱ ὄσσε φάανθεν,her terrible eyes shining,Iliad,1,200,descriptor,,,Deity Female,Narration,Narrator,,
344,Zeus,αἰγιόχοιο,aegis-bearer,Iliad,1,202,epithet,,,Deity Male,Direct,Achilles,,
344,Athena,Διὸς τέκος,daughter of Zeus,Iliad,1,202,epithet,lineage,Zeus,Deity Female,Direct,Achilles,,
345,Agamemnon,Ἀτρεΐδαο,of Atreus,Iliad,1,203,epithet,patronym,Atreus,Human Male,Direct,Achilles,,
351,Athena,θεὰ,goddess,Iliad,1,206,descriptor,,,Deity Female,Narration,Narrator,,
351,Athena,γλαυκῶπις,flashing-eyed,Iliad,1,206,epithet,,,Deity Female,Narration,Narrator,,
354,Ouranos,οὐρανόθεν,heaven,Iliad,1,208,epithet,,,Deity Male,Direct,Athena,,
354,Hera,θεὰ,goddess,Iliad,1,208,descriptor,,,Deity Female,Direct,Athena,,
354,Hera,λευκώλενος,white-armed,Iliad,1,208,epithet,,,Deity Female,Direct,Athena,,
363,Achilles,πόδας ὠκὺς,swift-footed,Iliad,1,215,epithet,,,Human Male,Narration,Narrator,,
365,Athena,θεὰ,goddess,Iliad,1,216,descriptor,,,Deity Female,Direct,Achilles,,
373,Zeus,αἰγιόχοιο,aegis-bearer,Iliad,1,222,epithet,,,Deity Male,Narration,Narrator,,
375,Achilles,Πηλεΐδης,of Peleus,Iliad,1,223,epithet,patronym,Peleus,Human Male,Narration,Narrator,,
376,Agamemnon,Ἀτρεΐδην,of Atreus,Iliad,1,224,epithet,patronym,Atreus,Human Male,Narration,Narrator,,
381,Ker,κὴρ,fate,Iliad,1,228,epithet,,,Deity Female,Direct,Achilles,,
384,Agamemnon,δημοβόρος βασιλεὺς,people-devouring king,Iliad,1,231,epithet,,,Human Male,Direct,Achilles,,
385,Agamemnon,Ἀτρεΐδη,of Atreus,Iliad,1,232,epithet,patronym,Atreus,Human Male,Direct,Achilles,,
390,sons,υἷες Ἀχαιῶν,sons of Achaeans,Iliad,1,237,epithet,lineage,Achaeans,Human Group,Direct,Achilles,,
393,sons,υἷας Ἀχαιῶν,sons of Achaeans,Iliad,1,240,epithet,lineage,Achaeans,Human Group,Direct,Achilles,,
395,Hector,ἀνδροφόνοιο,man-slaying,Iliad,1,242,epithet,,,Human Male,Direct,Achilles,,
397,Achilles,ἄριστον Ἀχαιῶν,best of Achaeans,Iliad,1,244,descriptor,,,Human Male,Direct,Achilles,,
401,Achilles,Πηλεΐδης,of Peleus,Iliad,1,245,epithet,patronym,Peleus,Human Male,Narration,Narrator,,
403,Agamemnon,Ἀτρεΐδης,of Atreus,Iliad,1,247,epithet,patronym,Atreus,Human Male,Narration,Narrator,,
404,Nestor,ἡδυεπὴς,sweet-speaking,Iliad,1,248,epithet,,,Human Male,Narration,Narrator,,
404,Nestor,ἀνόρουσε λιγὺς Πυλίων ἀγορητής,clear-voiced orator of Pylians,Iliad,1,248,epithet,,,Human Male,Narration,Narrator,,
405,Nestor,τοῦ καὶ ἀπὸ γλώσσης μέλιτος γλυκίων ῥέεν αὐδή,from whose tongue flowed speech sweeter than honey,Iliad,1,249,descriptor,,,Human Male,Narration,Narrator,,
408,Pylos,ἠγαθέῃ,sacred,Iliad,1,252,descriptor,,,Location,Narration,Narrator,,
412,sons,Πριάμοιό τε παῖδες,sons of Priam,Iliad,1,255,epithet,lineage,Priam,Human Group,Direct,Nestor,,
415,"Achilles, Agamemnon","οἳ περὶ μὲν βουλὴν Δαναῶν, περὶ δʼ ἐστὲ μάχεσθαι",chief among Danaans in counsel and in war,Iliad,1,258,epithet,,,Human Male,Direct,Nestor,,
420,Dryas,ποιμένα λαῶν,shepherd of the people,Iliad,1,263,epithet,,,Human Male,Direct,Nestor,,
421,Polyphemus,ἀντίθεον,godlike,Iliad,1,264,epithet,,,Human Male,Direct,Nestor,,
422,Theseus,Αἰγεΐδην,of Aegeus,Iliad,1,265,epithet,patronym,Aegeus,Human Male,Direct,Nestor,,
422,Theseus,ἐπιείκελον ἀθανάτοισιν,a man like immortals,Iliad,1,265,descriptor,,,Human Male,Direct,Nestor,,
433,sons,υἷες Ἀχαιῶν,sons of Achaeans,Iliad,1,276,epithet,lineage,Achaeans,Human Group,Direct,Nestor,,
434,Achilles,Πηλείδη,of Peleus,Iliad,1,277,epithet,patronym,Peleus,Human Male,Direct,Nestor,,
436,Agamemnon,σκηπτοῦχος βασιλεύς,staff-holding king,Iliad,1,279,epithet,,,Human Male,Direct,Nestor,,
437,Thetis,θεὰ,goddess,Iliad,1,280,descriptor,,,Deity Female,Direct,Nestor,,
439,Agamemnon,Ἀτρεΐδη,of Atreus,Iliad,1,282,epithet,patronym,Atreus,Human Male,Direct,Nestor,,
445,Agamemnon,κρείων,lord,Iliad,1,285,epithet,,,Human Male,Narration,Narrator,,
447,Nestor,γέρον,old man,Iliad,1,286,descriptor,,,Human Male,Direct,Agamemnon,,
451,gods,αἰὲν ἐόντες,who are forever,Iliad,1,290,descriptor,,,Deity Group,Direct,Agamemnon,,
455,Achilles,δῖος,divine,Iliad,1,292,epithet,,,Human Male,Narration,Narrator,,
464,ship,θοῇ,ship,Iliad,1,300,epithet,,,Object,Direct,Achilles,,
472,Achilles,Πηλεΐδης,of Peleus,Iliad,1,306,epithet,patronym,Peleus,Human Male,Narration,Narrator,,
473,Patroclus,Μενοιτιάδῃ,of Menoetius,Iliad,1,307,epithet,patronym,Menoetius,Human Male,Narration,Narrator,,
474,Agamemnon,Ἀτρεΐδης,of Atreus,Iliad,1,308,epithet,patronym,Atreus,Human Male,Narration,Narrator,,
474,ship,θοὴν,swift,Iliad,1,308,epithet,,,Object,Narration,Narrator,,
476,Chryseis,Χρυσηΐδα,of Chryses,Iliad,1,310,epithet,patronym,Chryses,Human Female,Narration,Narrator,,
476,Chryseis,καλλιπάρῃον,fair-cheeked,Iliad,1,310,descriptor,,,Human Female,Narration,Narrator,,
477,Odysseus,πολύμητις,of many wiles,Iliad,1,311,epithet,,,Human Male,Narration,Narrator,,
480,sea,ὑγρὰ κέλευθα,watery ways,Iliad,1,312,epithet,,,Nature,Narration,Narrator,,
481,Agamemnon,Ἀτρεΐδης,of Atreus,Iliad,1,313,epithet,patronym,Atreus,Human Male,Narration,Narrator,,
485,Ouranos,οὐρανὸν,heaven,Iliad,1,317,epithet,,,Deity Male,Narration,Narrator,,
492,Achilles,Πηληϊάδεω,of Peleus,Iliad,1,322,epithet,patronym,Peleus,Human Male,Direct,Agamemnon,,
493,Briseis,καλλιπάρῃον,fair-cheeked,Iliad,1,323,epithet,,,Human Female,Direct,Agamemnon,,
499,sea,ἀτρυγέτοιο,barren,Iliad,1,327,epithet,,,Nature,Narration,Narrator,,
507,"Talthybius, Eurybates",κήρυκες,heralds,Iliad,1,334,descriptor,,,Human Male,Direct,Achilles,,
507,"Talthybius, Eurybates",Διὸς ἄγγελοι ἠδὲ καὶ ἀνδρῶν,messengers of Zeus and men,Iliad,1,334,descriptor,,,Human Male,Direct,Achilles,,
510,Patroclus,διογενὲς,sprung from Zeus,Iliad,1,337,epithet,lineage,Zeus,Human Male,Direct,Achilles,,
512,gods,θεῶν μακάρων,blessed gods,Iliad,1,339,descriptor,,,Deity Group,Direct,Achilles,,
513,Agamemnon,βασιλῆος ἀπηνέος,ruthless king,Iliad,1,340,descriptor,,,Human Male,Direct,Achilles,,
522,Briseis,καλλιπάρῃον,fair-cheeked,Iliad,1,346,epithet,,,Human Female,Narration,Narrator,,
530,Zeus,Ὀλύμπιος,Olympian,Iliad,1,353,epithet,,,Deity Male,Direct,Achilles,,
531,Zeus,ὑψιβρεμέτης,high-thundering,Iliad,1,354,epithet,,,Deity Male,Direct,Achilles,,
532,Agamemnon,Ἀτρεΐδης,of Atreus,Iliad,1,355,epithet,patronym,Atreus,Human Male,Direct,Achilles,,
532,Agamemnon,εὐρὺ κρείων,wide-ruling,Iliad,1,355,epithet,,,Human Male,Narration,Narrator,,
536,Thetis,πότνια μήτηρ,queenly mother,Iliad,1,357,descriptor,,,Deity Female,Narration,Narrator,,
537,Triton,γέροντι,old man,Iliad,1,358,epithet,,,Deity Male,Narration,Narrator,,
546,Achilles,πόδας ὠκὺς,swift-footed,Iliad,1,364,epithet,,,Human Male,Narration,Narrator,,
549,Thebes,ἱερὴν πόλιν Ἠετίωνος,sacred city of Eetion,Iliad,1,366,descriptor,,,Location,Direct,Achilles,,
551,sons,υἷες Ἀχαιῶν,sons of Achaeans,Iliad,1,368,epithet,lineage,Achaeans,Human Group,Direct,Achilles,,
552,Agamemnon,Ἀτρεΐδῃ,of Atreus,Iliad,1,369,epithet,patronym,Atreus,Human Male,Direct,Achilles,,
552,Chryseis,Χρυσηΐδα,of Chryses,Iliad,1,369,epithet,patronym,Chryses,Human Female,Direct,Achilles,,
552,Chryseis,καλλιπάρῃον,,Iliad,1,369,epithet,,,Human Female,Direct,Achilles,,
553,Chryses,ἱερεὺς ἑκατηβόλου Ἀπόλλωνος,priest of Apollo,Iliad,1,370,descriptor,,,Human Male,Direct,Achilles,,
554,ship,θοὰς,swift,Iliad,1,371,epithet,,,Object,Direct,Achilles,,
554,Achaeans,χαλκοχιτώνων,bronze-clad,Iliad,1,371,epithet,,,Human Group,Direct,Achilles,,
556,Apollo,ἑκηβόλου,far-shooting,Iliad,1,373,epithet,,,Deity Male,Direct,Achilles,,
558,"Agamemnon, Menelaus",Ἀτρεΐδα,of Atreus,Iliad,1,375,epithet,patronym,Atreus,Human Male,Direct,Achilles,,
558,"Agamemnon, Menelaus",κοσμήτορε λαῶν,,Iliad,1,375,descriptor,,,Human Male,Direct,Achilles,,
561,Agamemnon,Ἀτρεΐδῃ,of Atreus,Iliad,1,378,epithet,patronym,Atreus,Human Male,Direct,Achilles,,
563,Chryses,γέρων,old man,Iliad,1,380,descriptor,,,Human Male,Direct,Achilles,,
566,Apollo,θεοῖο,god,Iliad,1,383,descriptor,,,Deity Male,Direct,Achilles,,
567,Chryses,μάντις,seer,Iliad,1,384,descriptor,,,Human Male,Direct,Achilles,,
568,Apollo,ἑκάτοιο,far-shooting,Iliad,1,385,epithet,,,Deity Male,Direct,Achilles,,
570,Apollo,θεὸν,,Iliad,1,386,descriptor,,,Deity Male,Direct,Achilles,,
571,Agamemnon,Ἀτρεΐωνα,of Atreus,Iliad,1,387,epithet,patronym,Atreus,Human Male,Direct,Achilles,,
573,Achaeans,ἑλίκωπες,,Iliad,1,389,epithet,,,Human Group,Direct,Achilles,,
574,Apollo,ἄνακτι,,Iliad,1,390,epithet,,,Deity Male,Direct,Achilles,,
576,Briseis,κούρην Βρισῆος,,Iliad,1,392,epithet,lineage,Briseus,Human Female,Direct,Achilles,,
576,sons,υἷες Ἀχαιῶν,,Iliad,1,392,epithet,lineage,Achaeans,Human Group,Direct,Achilles,,
581,Kronos,κελαινεφέϊ,,Iliad,1,397,epithet,,,Deity Male,Narration,Narrator,,
581,Zeus,Κρονίωνι,,Iliad,1,397,epithet,patronym,Kronos,Deity Male,Direct,Achilles,,
582,gods,ἀθανάτοισιν,immortal,Iliad,1,398,descriptor,,,Deity Group,Direct,Achilles,,
583,Olympians,Ὀλύμπιοι,,Iliad,1,399,epithet,,,Deity Group,Direct,Achilles,,
584,Athena,Παλλὰς,,Iliad,1,400,epithet,,,Deity Female,Direct,Achilles,,
585,Thetis,θεὰ,goddess,Iliad,1,401,descriptor,,,Deity Female,Direct,Achilles,,
586,Briareus,ἑκατόγχειρον,,Iliad,1,402,epithet,,,Giant,Direct,Achilles,,
586,Olympus,μακρὸν Ὄλυμπον,,Iliad,1,402,epithet,,,Location,Direct,Achilles,,
587,gods,θεοί,,Iliad,1,403,descriptor,,,Deity Group,Direct,Achilles,,
589,Zeus,Κρονίωνι,,Iliad,1,405,epithet,patronym,Kronos,Deity Male,Direct,Achilles,,
590,gods,μάκαρες,,Iliad,1,406,epithet,,,Deity Group,Direct,Achilles,,
595,Agamemnon,Ἀτρεΐδης,of Atreus,Iliad,1,411,epithet,patronym,Atreus,Human Male,Direct,Achilles,,
595,Agamemnon,εὐρὺ κρείων,,Iliad,1,411,epithet,,,Human Male,Direct,Achilles,,
596,Achilles,ἄριστον Ἀχαιῶν,,Iliad,1,412,descriptor,,,Human Male,Direct,Achilles,,
606,Zeus,τερπικεραύνῳ,,Iliad,1,419,epithet,,,Deity Male,Direct,Thetis,,
607,Olympus,ἀγάννιφον,snow-capped,Iliad,1,420,epithet,,,Location,Direct,Thetis,,
610,Ethiopians,ἀμύμονας,,Iliad,1,423,epithet,,,Human Group,Direct,Thetis,,
611,gods,θεοὶ,,Iliad,1,424,descriptor,,,Deity Group,Direct,Thetis,,
619,Chryseis,ἐϋζώνοιο,,Iliad,1,429,epithet,,,Human Female,Narration,Narrator,,
628,Apollo,ἑκηβόλῳ,far-shooting,Iliad,1,438,epithet,,,Deity Male,Narration,Narrator,,
629,Chryseis,Χρυσηῒς,,Iliad,1,439,epithet,patronym,Chryses,Human Female,Narration,Narrator,,
629,ship,ποντοπόροιο,,Iliad,1,439,epithet,,,Object,Narration,Narrator,,
630,Odysseus,πολύμητις,of many wiles,Iliad,1,440,epithet,,,Human Male,Narration,Narrator,,
633,Agamemnon,ἄναξ ἀνδρῶν,lord of men,Iliad,1,442,epithet,,,Human Male,Direct,Odysseus,,
634,Apollo,Φοίβῳ,Phoebus,Iliad,1,443,epithet,,,Deity Male,Direct,Odysseus,,
635,Apollo,ἄνακτα,,Iliad,1,444,epithet,,,Deity Male,Direct,Odysseus,,
645,Apollo,ἀργυρότοξʼ,,Iliad,1,451,epithet,,,Deity Male,Direct-Prayer,Chryses,,
646,Chryse,ζαθέην,,Iliad,1,452,descriptor,,,Location,Direct-Prayer,Chryses,,
653,Apollo,Φοῖβος,Phoebus,Iliad,1,457,epithet,,,Deity Male,Narration,Narrator,,
659,Chryses,γέρων,,Iliad,1,462,descriptor,,,Human Male,Narration,Narrator,,
669,Apollo,θεὸν,,Iliad,1,472,descriptor,,,Deity Male,Narration,Narrator,,
670,sons,κοῦροι Ἀχαιῶν,,Iliad,1,473,epithet,lineage,Achaeans,Human Group,Narration,Narrator,,
671,Apollo,ἑκάεργον,,Iliad,1,474,epithet,,,Deity Male,Narration,Narrator,,
675,Eos,ἠριγένεια,,Iliad,1,477,epithet,,,Deity Female,Narration,Narrator,,
675,Eos,ῥοδοδάκτυλος,,Iliad,1,477,epithet,,,Deity Female,Narration,Narrator,,
677,Apollo,ἑκάεργος,,Iliad,1,479,epithet,,,Deity Male,Narration,Narrator,,
680,wave,πορφύρεον,,Iliad,1,482,epithet,,,Nature,Narration,Narrator,,
688,Achilles,διογενὴς,,Iliad,1,489,epithet,lineage,Zeus,Human Male,Narration,Narrator,,
688,Achilles,Πηλῆος υἱὸς,,Iliad,1,489,epithet,lineage,Peleus,Human Male,Narration,Narrator,,
688,Achilles,πόδας ὠκὺς,swift-footed,Iliad,1,489,epithet,,,Human Male,Narration,Narrator,,
695,gods,αἰὲν ἐόντες,,Iliad,1,494,descriptor,,,Deity Group,Narration,Narrator,,
699,Zeus,εὐρύοπα,,Iliad,1,498,epithet,,,Deity Male,Narration,Narrator,,
699,Zeus,Κρονίδην,,Iliad,1,498,epithet,patronym,Kronos,Deity Male,Narration,Narrator,,
700,Olympus,πολυδειράδος,,Iliad,1,499,epithet,,,Location,Narration,Narrator,,
703,Zeus,Δία,,Iliad,1,502,epithet,,,Deity Male,Narration,Narrator,,
703,Zeus,Κρονίωνα,,Iliad,1,502,epithet,patronym,Kronos,Deity Male,Narration,Narrator,,
703,Zeus,ἄνακτα,,Iliad,1,502,epithet,,,Deity Male,Narration,Narrator,,
705,Zeus,πάτερ,,Iliad,1,503,descriptor,,,Deity Male,Direct-Prayer,Thetis,,
705,gods,ἀθανάτοισιν,immortal,Iliad,1,503,descriptor,,,Deity Group,Direct-Prayer,Thetis,,
708,Agamemnon,ἄναξ ἀνδρῶν,lord of men,Iliad,1,506,epithet,,,Human Male,Direct-Prayer,Thetis,,
710,Zeus,Ὀλύμπιε,,Iliad,1,508,epithet,,,Deity Male,Direct-Prayer,Thetis,,
710,Zeus,μητίετα,counsellor,Iliad,1,508,epithet,,,Deity Male,Direct-Prayer,Thetis,,
715,Zeus,νεφεληγερέτα,,Iliad,1,511,epithet,,,Deity Male,Narration,Narrator,,
724,Zeus,νεφεληγερέτα,,Iliad,1,517,epithet,,,Deity Male,Narration,Narrator,,
