Source line,Signified Entity,Greek,Translation,Epic,Book,Line,Type,Subtype,Relative,Category,Speech,Speaker,MANTO ID
226,Agamemnon,εὐρὺ κρείων,wide-ruling,Iliad,1,102,epithet,,,,Narration,Narrator,
231,Calchas,μάντι κακῶν,phrophet of evil,Iliad,1,106,descriptor,,,,Direct,Agamemnon,
235,Apollo,ἑκηβόλος,,Iliad,1,110,epithet,,,,Direct,Agamemnon,
236,Chryseis,κούρης Χρυσηΐδος,,Iliad,1,111,epithet,lineage,Chryses,,Direct,Agamemnon,
239,Klytemnestra,κουριδίης ἀλόχου,wedded wife,Iliad,1,114,descriptor,,,,Direct,Agamemnon,
248,Achilles,ποδάρκης,,Iliad,1,121,descriptor,,,,Narration,Narrator,8182012
248,Achilles,δῖος,,Iliad,1,121,descriptor,,,,Narration,Narrator,8182012
250,Agamemnon,Ἀτρεΐδη,of Atreus,Iliad,1,122,epithet,patronym,Atreus,,Direct,Achilles,
250,Agamemnon,κύδιστε,,Iliad,1,122,descriptor,,,,Direct,Achilles,
250,Agamemnon,φιλοκτεανώτατε πάντων,,Iliad,1,122,descriptor,,,,Direct,Achilles,
251,Achaean,μεγάθυμοι,great-hearted,Iliad,1,123,epithet,,,,Direct,Achilles,
255,Apollo,θεῷ,,Iliad,1,127,descriptor,,,,Direct,Achilles,
257,Troy,εὐτείχεον,,Iliad,1,129,descriptor,,,,Direct,Achilles,
261,Agamemnon,κρείων,,Iliad,1,130,epithet,,,,Narration,Narrator,
263,Achilles,ἀγαθός,,Iliad,1,131,descriptor,,,,Direct,Agamemnon,8182012
263,Achilles,θεοείκελʼ,,Iliad,1,131,descriptor,,,,Direct,Agamemnon,8182012
267,Achaean,μεγάθυμοι,great-hearted,Iliad,1,135,descriptor,,,,Direct,Agamemnon,
273,sea,δῖαν,,Iliad,1,141,epithet,,,,Direct,Agamemnon,
275,Chryseis,Χρυσηΐδα,,Iliad,1,143,epithet,patronym,Chryses,,Direct,Agamemnon,
275,Chryseis,καλλιπάρῃον,,Iliad,1,143,descriptor,,,,Direct,Agamemnon,
277,Odysseus,δῖος,,Iliad,1,145,descriptor,,,,Direct,Agamemnon,
278,Achilles,Πηλεΐδη,,Iliad,1,146,epithet,patronym,Peleus,,Direct,Agamemnon,8182012
278,Achilles,πάντων ἐκπαγλότατʼ ἀνδρῶν,,Iliad,1,146,descriptor,,,,Direct,Agamemnon,8182012
282,Achilles,πόδας ὠκὺς,,Iliad,1,148,epithet,,,,Narration,Narrator,8182012
290,Phthia,ἐριβώλακι,,Iliad,1,155,epithet,,,,Direct,Achilles,
290,Phthia,βωτιανείρῃ,,Iliad,1,155,epithet,,,,Direct,Achilles,
293,Agamemnon,ἀναιδὲς,,Iliad,1,158,descriptor,,,,Direct,Achilles,
294,Agamemnon,κυνῶπα,,Iliad,1,159,descriptor,,,,Direct,Achilles,
297,sons of Achaeans,υἷες Ἀχαιῶν,,Iliad,1,162,epithet,lineage,Achaeans,,Direct,Achilles,
300,battle,πολυάϊκος,,Iliad,1,165,epithet,,,,Direct,Achilles,
305,ship,κορωνίσιν,,Iliad,1,170,epithet,,,,Direct,Achilles,
310,Agamemnon,ἄναξ ἀνδρῶν,,Iliad,1,172,epithet,,,,Narration,Narrator,
314,Zeus,μάλιστα δὲ μητίετα,,Iliad,1,175,epithet,,,,Direct,Agamemnon,
315,Agamemnon,διοτρεφέων,fostered of Zeus,Iliad,1,176,epithet,lineage,Zeus,,Direct,Agamemnon,
321,Chryseis,Χρυσηΐδα,,Iliad,1,182,epithet,patronym,Chryses,,Direct,Agamemnon,
321,Apollo,Φοῖβος,,Iliad,1,182,epithet,,,,Direct,Agamemnon,
323,Briseis,καλλιπάρῃον,,Iliad,1,184,epithet,,,,Direct,Agamemnon,
329,Achilles,Πηλεΐωνι,,Iliad,1,188,epithet,patronym,Peleus,,Narration,Narrator,8182012
331,sword,ὀξὺ,,Iliad,1,190,epithet,,,,Narration,Narrator,
332,Agamemnon,Ἀτρεΐδην,of Atreus,Iliad,1,191,epithet,patronym,Atreus,,Narration,Narrator,
336,Ouranos,οὐρανόθεν,,Iliad,1,195,epithet,,,,Narration,Narrator,
336,Hera,θεὰ,goddess,Iliad,1,195,descriptor,,,,Narration,Narrator,
336,Hera,λευκώλενος,,Iliad,1,195,epithet,,,,Narration,Narrator,
338,Achilles,Πηλεΐωνα,,Iliad,1,197,epithet,patronym,Peleus,,Narration,Narrator,8182012
341,Athena,Παλλάδʼ,,Iliad,1,200,epithet,,,,Narration,Narrator,
341,Athena,δεινὼ δέ οἱ ὄσσε φάανθεν,her terrible eyes shining,Iliad,1,200,descriptor,,,,Narration,Narrator,
344,Zeus,αἰγιόχοιο,,Iliad,1,202,epithet,,,,Direct,Achilles,
344,Athena,Διὸς τέκος,,Iliad,1,202,epithet,lineage,Zeus,,Direct,Achilles,
345,Agamemnon,Ἀτρεΐδαο,of Atreus,Iliad,1,203,epithet,patronym,Atreus,,Direct,Achilles,
351,Athena,θεὰ,goddess,Iliad,1,206,descriptor,,,,Narration,Narrator,
351,Athena,γλαυκῶπις,,Iliad,1,206,epithet,,,,Narration,Narrator,
354,Ouranos,οὐρανόθεν,,Iliad,1,208,epithet,,,,Direct,Athena,
354,Hera,θεὰ,goddess,Iliad,1,208,descriptor,,,,Direct,Athena,
354,Hera,λευκώλενος,,Iliad,1,208,epithet,,,,Direct,Athena,
363,Achilles,πόδας ὠκὺς,,Iliad,1,215,epithet,,,,Narration,Narrator,8182012
365,Athena,θεὰ,goddess,Iliad,1,216,descriptor,,,,Direct,Achilles,
373,Zeus,αἰγιόχοιο,,Iliad,1,222,epithet,,,,Narration,Narrator,
375,Achilles,Πηλεΐδης,,Iliad,1,223,epithet,patronym,Peleus,,Narration,Narrator,8182012
376,Agamemnon,Ἀτρεΐδην,of Atreus,Iliad,1,224,epithet,patronym,Atreus,,Narration,Narrator,
381,Ker,κὴρ,,Iliad,1,228,epithet,,,,Direct,Achilles,
384,Agamemnon,δημοβόρος βασιλεὺς,,Iliad,1,231,epithet,,,,Direct,Achilles,
385,Agamemnon,Ἀτρεΐδη,of Atreus,Iliad,1,232,epithet,patronym,Atreus,,Direct,Achilles,
390,sons of Achaeans,υἷες Ἀχαιῶν,,Iliad,1,237,epithet,lineage,Achaeans,,Direct,Achilles,
393,sons of Achaeans,υἷας Ἀχαιῶν,,Iliad,1,240,epithet,lineage,Achaeans,,Direct,Achilles,
395,Hector,ἀνδροφόνοιο,,Iliad,1,242,epithet,,,,Direct,Achilles,
397,Achilles,ἄριστον Ἀχαιῶν,,Iliad,1,244,descriptor,,,,Direct,Achilles,8182012
401,Achilles,Πηλεΐδης,,Iliad,1,245,epithet,patronym,Peleus,,Narration,Narrator,8182012
403,Agamemnon,Ἀτρεΐδης,of Atreus,Iliad,1,247,epithet,patronym,Atreus,,Narration,Narrator,
404,Nestor,ἡδυεπὴς,,Iliad,1,248,epithet,,,,Narration,Narrator,
404,Nestor,ἀνόρουσε λιγὺς Πυλίων ἀγορητής,,Iliad,1,248,epithet,,,,Narration,Narrator,
405,Nestor,τοῦ καὶ ἀπὸ γλώσσης μέλιτος γλυκίων ῥέεν αὐδή,,Iliad,1,249,descriptor,,,,Narration,Narrator,
408,Pylos,ἠγαθέῃ,,Iliad,1,252,descriptor,,,,Narration,Narrator,
412,sons of Priam,Πριάμοιό τε παῖδες,,Iliad,1,255,epithet,lineage,Priam,,Direct,Nestor,
415,"Achilles,Agamemnon","οἳ περὶ μὲν βουλὴν Δαναῶν, περὶ δʼ ἐστὲ μάχεσθαι",,Iliad,1,258,epithet,,,,Direct,Nestor,
420,Dryas,ποιμένα λαῶν,,Iliad,1,263,epithet,,,,Direct,Nestor,
421,Polyphemus,ἀντίθεον,,Iliad,1,264,epithet,,,,Direct,Nestor,
422,Theseus,Αἰγεΐδην,,Iliad,1,265,epithet,patronym,Aegeus,,Direct,Nestor,
422,Theseus,ἐπιείκελον ἀθανάτοισιν,,Iliad,1,265,descriptor,,,,Direct,Nestor,
433,sons of Achaeans,υἷες Ἀχαιῶν,,Iliad,1,276,epithet,lineage,Achaeans,,Direct,Nestor,
434,Achilles,Πηλείδη,,Iliad,1,277,epithet,patronym,Peleus,,Direct,Nestor,8182012
436,Agamemnon,σκηπτοῦχος βασιλεύς,,Iliad,1,279,epithet,,,,Direct,Nestor,
437,Thetis,θεὰ,goddess,Iliad,1,280,descriptor,,,,Direct,Nestor,
439,Agamemnon,Ἀτρεΐδη,of Atreus,Iliad,1,282,epithet,patronym,Atreus,,Direct,Nestor,
445,Agamemnon,κρείων,,Iliad,1,285,epithet,,,,Narration,Narrator,
447,Nestor,γέρον,,Iliad,1,286,descriptor,,,,Direct,Agamemnon,
451,gods,αἰὲν ἐόντες,,Iliad,1,290,descriptor,,,,Direct,Agamemnon,
455,Achilles,δῖος,,Iliad,1,292,descriptor,,,,Narration,Narrator,8182012
472,Achilles,Πηλεΐδης,,Iliad,1,306,epithet,patronym,Peleus,,Narration,Narrator,8182012
473,Patroclus,Μενοιτιάδῃ,,Iliad,1,307,epithet,patronym,Menoetius,,Narration,Narrator,
474,Agamemnon,Ἀτρεΐδης,of Atreus,Iliad,1,308,epithet,patronym,Atreus,,Narration,Narrator,
474,ship,θοὴν,,Iliad,1,308,epithet,,,,Narration,Narrator,
476,Chriseis,Χρυσηΐδα,,Iliad,1,310,epithet,patronym,Chryses,,Narration,Narrator,
476,Chriseis,καλλιπάρῃον,,Iliad,1,310,descriptor,,,,Narration,Narrator,
477,Odysseus,πολύμητις,,Iliad,1,311,epithet,,,,Narration,Narrator,
480,sea,ὑγρὰ κέλευθα,,Iliad,1,312,epithet,,,,Narration,Narrator,
481,Agamemnon,Ἀτρεΐδης,of Atreus,Iliad,1,313,epithet,patronym,Atreus,,Narration,Narrator,
485,Ouranos,οὐρανὸν,,Iliad,1,317,epithet,,,,Narration,Narrator,
492,Achilles,Πηληϊάδεω,,Iliad,1,322,epithet,patronym,Peleus,,Direct,Agamemnon,8182012
493,Briseis,καλλιπάρῃον,,Iliad,1,323,epithet,,,,Direct,Agamemnon,
499,sea,ἀτρυγέτοιο,,Iliad,1,327,epithet,,,,Narration,Narrator,
507,"Talthybius, Eurybates",κήρυκες,,Iliad,1,334,descriptor,,,,Direct,Achilles,
507,"Talthybius, Eurybates",Διὸς ἄγγελοι ἠδὲ καὶ ἀνδρῶν,,Iliad,1,334,descriptor,,,,Direct,Achilles,
510,Patroclus,διογενὲς,,Iliad,1,337,epithet,lineage,Zeus,,Direct,Achilles,
512,gods,θεῶν μακάρων,,Iliad,1,339,descriptor,,,,Direct,Achilles,
513,Agamemnon,βασιλῆος ἀπηνέος,,Iliad,1,340,descriptor,,,,Direct,Achilles,
522,Briseis,καλλιπάρῃον,,Iliad,1,346,epithet,,,,Narration,Narrator,
530,Zeus,Ὀλύμπιος,,Iliad,1,353,epithet,,,,Direct,Achilles,
531,Zeus,ὑψιβρεμέτης,,Iliad,1,354,epithet,,,,Direct,Achilles,
532,Agamemnon,Ἀτρεΐδης,of Atreus,Iliad,1,355,epithet,patronym,Atreus,,Direct,Achilles,
532,Agamemnon,εὐρὺ κρείων,,Iliad,1,355,epithet,,,,Narration,Narrator,
536,Thetis,πότνια μήτηρ,,Iliad,1,357,descriptor,,,,Narration,Narrator,
537,Triton,γέροντι,,Iliad,1,358,epithet,,,,Narration,Narrator,
546,Achilles,πόδας ὠκὺς,,Iliad,1,364,epithet,,,,Narration,Narrator,8182012
549,Thebes,ἱερὴν πόλιν Ἠετίωνος,,Iliad,1,366,descriptor,,,,Direct,Achilles,
551,sons of Achaeans,υἷες Ἀχαιῶν,,Iliad,1,368,epithet,lineage,Achaeans,,Direct,Achilles,
552,Agamemnon,Ἀτρεΐδῃ,of Atreus,Iliad,1,369,epithet,patronym,Atreus,,Direct,Achilles,
552,Chriseis,Χρυσηΐδα,,Iliad,1,369,epithet,patronym,Chryses,,Direct,Achilles,
552,Chriseis,καλλιπάρῃον,,Iliad,1,369,epithet,,,,Direct,Achilles,
553,Chryses,ἱερεὺς ,,Iliad,1,370,descriptor,,,,Direct,Achilles,
553,Apollo,ἑκατηβόλου,,Iliad,1,370,epithet,,,,Direct,Achilles,
554,ship,θοὰς,,Iliad,1,371,epithet,,,,Direct,Achilles,
554,Achaean,χαλκοχιτώνων,bronze-clad,Iliad,1,371,epithet,,,,Direct,Achilles,
556,Apollo,ἑκηβόλου,,Iliad,1,373,epithet,,,,Direct,Achilles,
558,"Agamemnon, Menelaus",Ἀτρεΐδα,of Atreus,Iliad,1,375,epithet,patronym,Atreus,,Direct,Achilles,
558,"Agamemnon, Menelaus",κοσμήτορε λαῶν,,Iliad,1,375,descriptor,,,,Direct,Achilles,
561,Agamemnon,Ἀτρεΐδῃ,,Iliad,1,378,epithet,patronym,Atreus,,Direct,Achilles,
563,Chryses,γέρων,,Iliad,1,380,descriptor,,,,Direct,Achilles,
566,Apollo,θεοῖο,,Iliad,1,383,descriptor,,,,Direct,Achilles,
567,Chryses,μάντις,,Iliad,1,384,descriptor,,,,Direct,Achilles,
568,Apollo,ἑκάτοιο,,Iliad,1,385,epithet,,,,Direct,Achilles,
570,Apollo,θεὸν,,Iliad,1,386,descriptor,,,,Direct,Achilles,
571,Agamemnon,Ἀτρεΐωνα,,Iliad,1,387,epithet,patronym,Atreus,,Direct,Achilles,
573,Achaean,ἑλίκωπες,quick-glancing,Iliad,1,389,epithet,,,,Direct,Achilles,
574,Apollo,ἄνακτι,,Iliad,1,390,epithet,,,,Direct,Achilles,
576,Briseis,κούρην Βρισῆος,,Iliad,1,392,epithet,lineage,Briseus,,Direct,Achilles,
576,sons of Achaeans,υἷες Ἀχαιῶν,,Iliad,1,392,epithet,lineage,Achaeans,,Direct,Achilles,
581,Kronos,κελαινεφέϊ,,Iliad,1,397,epithet,,,,Narration,Narrator,
581,Zeus,Κρονίωνι,,Iliad,1,397,epithet,patronym,Kronos,,Direct,Achilles,
582,gods,ἀθανάτοισιν,,Iliad,1,398,descriptor,,,,Direct,Achilles,
583,Olympians,Ὀλύμπιοι,,Iliad,1,399,epithet,,,,Direct,Achilles,
584,Athena,Παλλὰς,,Iliad,1,400,epithet,,,,Direct,Achilles,
585,Thetis,θεὰ,goddess,Iliad,1,401,descriptor,,,,Direct,Achilles,
586,Briareus,ἑκατόγχειρον,,Iliad,1,402,epithet,,,,Direct,Achilles,
586,Olympus,μακρὸν Ὄλυμπον,,Iliad,1,402,epithet,,,,Direct,Achilles,
587,gods,θεοί,,Iliad,1,403,descriptor,,,,Direct,Achilles,
589,Zeus,Κρονίωνι,,Iliad,1,405,epithet,patronym,Kronos,,Direct,Achilles,
590,gods,μάκαρες,,Iliad,1,406,epithet,,,,Direct,Achilles,
595,Agamemnon,Ἀτρεΐδης,,Iliad,1,411,epithet,patronym,Atreus,,Direct,Achilles,
595,Agamemnon,εὐρὺ κρείων,,Iliad,1,411,epithet,,,,Direct,Achilles,
596,Achilles,ἄριστον Ἀχαιῶν,,Iliad,1,412,descriptor,,,,Direct,Achilles,8182012
606,Zeus,τερπικεραύνῳ,,Iliad,1,419,epithet,,,,Direct,Thetis,
607,Olympus,ἀγάννιφον,,Iliad,1,420,epithet,,,,Direct,Thetis,
610,Ethiopians,ἀμύμονας,,Iliad,1,423,epithet,,,,Direct,Thetis,
611,gods,θεοὶ,,Iliad,1,424,descriptor,,,,Direct,Thetis,
619,Chryseis,ἐϋζώνοιο,,Iliad,1,429,epithet,,,,Narration,Narrator,
628,Apollo,ἑκηβόλῳ,,Iliad,1,438,epithet,,,,Narration,Narrator,
629,Chryseis,Χρυσηῒς,,Iliad,1,439,epithet,patronym,Chryses,,Narration,Narrator,
629,ship,ποντοπόροιο,,Iliad,1,439,epithet,,,,Narration,Narrator,
630,Odysseus,πολύμητις,,Iliad,1,440,epithet,,,,Narration,Narrator,
633,Agamemnon,ἄναξ ἀνδρῶν,,Iliad,1,442,epithet,,,,Direct,Odysseus,
634,Apollo,Φοίβῳ,,Iliad,1,443,epithet,,,,Direct,Odysseus,
635,Apollo,ἄνακτα,,Iliad,1,444,epithet,,,,Direct,Odysseus,
645,Apollo,ἀργυρότοξʼ,,Iliad,1,451,epithet,,,,Direct,Chryses,
646,Chryse,ζαθέην,,Iliad,1,452,descriptor,,,,Direct,Chryses,
653,Apollo,Φοῖβος,,Iliad,1,457,epithet,,,,Narration,Narrator,
659,Chryses,γέρων,,Iliad,1,462,descriptor,,,,Narration,Narrator,
669,Apollo,θεὸν,,Iliad,1,472,descriptor,,,,Narration,Narrator,
670,sons of Achaeans,κοῦροι Ἀχαιῶν,,Iliad,1,473,epithet,lineage,Achaeans,,Narration,Narrator,
671,Apollo,ἑκάεργον,,Iliad,1,474,epithet,,,,Narration,Narrator,
675,Eos,ἠριγένεια,,Iliad,1,477,epithet,,,,Narration,Narrator,
675,Eos,ῥοδοδάκτυλος,,Iliad,1,477,epithet,,,,Narration,Narrator,
677,Apollo,ἑκάεργος,,Iliad,1,479,epithet,,,,Narration,Narrator,
688,Achilles,διογενὴς,,Iliad,1,489,epithet,lineage,Zeus,,Narration,Narrator,8182012
688,Achilles,Πηλῆος υἱὸς,,Iliad,1,489,epithet,lineage,Peleus,,Narration,Narrator,8182012
688,Achilles,πόδας ὠκὺς,,Iliad,1,489,epithet,,,,Narration,Narrator,8182012
695,gods,αἰὲν ἐόντες,,Iliad,1,494,descriptor,,,,Narration,Narrator,
699,Zeus,εὐρύοπα,,Iliad,1,498,epithet,,,,Narration,Narrator,
699,Zeus,Κρονίδην,,Iliad,1,498,epithet,patronym,Kronos,,Narration,Narrator,
700,Olympus,πολυδειράδος,,Iliad,1,499,epithet,,,,Narration,Narrator,
703,Zeus,Δία,,Iliad,1,502,epithet,,,,Narration,Narrator,
703,Zeus,Κρονίωνα,,Iliad,1,502,epithet,patronym,Kronos,,Narration,Narrator,
703,Zeus,ἄνακτα,,Iliad,1,502,epithet,,,,Narration,Narrator,
705,Zeus,πάτερ,,Iliad,1,503,descriptor,,,,Direct,Thetis,
705,gods,ἀθανάτοισιν,,Iliad,1,503,descriptor,,,,Direct,Thetis,
708,Agamemnon,ἄναξ ἀνδρῶν,,Iliad,1,506,epithet,,,,Direct,Thetis,
710,Zeus,Ὀλύμπιε,,Iliad,1,508,epithet,,,,Direct,Thetis,
710,Zeus,μητίετα,,Iliad,1,508,epithet,,,,Direct,Thetis,
715,Zeus,νεφεληγερέτα,,Iliad,1,511,epithet,,,,Narration,Narrator,
724,Zeus,νεφεληγερέτα,,Iliad,1,517,epithet,,,,Narration,Narrator,
728,gods,ἀθανάτοισι θεοῖσι,,Iliad,1,520,descriptor,,,,Direct,Zeus,
733,gods,ἀθανάτοισι,,Iliad,1,525,descriptor,,,,Direct,Zeus,
738,Zeus,Κρονίων,,Iliad,1,528,epithet,patronym,Kronos,,Narration,Narrator,
740,Olympus,μέγαν,,Iliad,1,530,descriptor,,,,Narration,Narrator,
744,Olympus,αἰγλήεντος,,Iliad,1,532,epithet,,,,Narration,Narrator,
750,Thetis,ἀργυρόπεζα,,Iliad,1,538,epithet,,,,Narration,Narrator,
750,Thetis,θυγάτηρ ,,Iliad,1,538,epithet,lineage,Proteus,,Narration,Narrator,
750,Proteus,ἁλίοιο γέροντος,,Iliad,1,538,epithet,,,,Narration,Narrator,
751,Zeus,Δία,,Iliad,1,539,epithet,,,,Narration,Narrator,
751,Zeus,Κρονίωνα,,Iliad,1,539,epithet,patronym,Kronos,,Narration,Narrator,
753,Zeus,δολομῆτα,,Iliad,1,540,epithet,,,,Direct,Hera,
759,Zeus,πατὴρ ἀνδρῶν τε θεῶν τε,,Iliad,1,544,epithet,,,,Narration,Narrator,
769,Hera,βοῶπις,,Iliad,1,551,epithet,,,,Narration,Narrator,
769,Hera,πότνια,,Iliad,1,551,descriptor,,,,Narration,Narrator,
771,Zeus,αἰνότατε,,Iliad,1,552,descriptor,,,,Direct,Hera,
771,Zeus,Κρονίδη,,Iliad,1,552,epithet,patronym,Kronos,,Direct,Hera,
775,Thetis,ἀργυρόπεζα,,Iliad,1,556,epithet,,,,Direct,Hera,
781,Zeus,νεφεληγερέτα,,Iliad,1,560,epithet,,,,Narration,Narrator,
783,Hera,δαιμονίη,,Iliad,1,561,descriptor,,,,Direct,Zeus,
793,Hera,βοῶπις,,Iliad,1,568,epithet,,,,Narration,Narrator,
793,Hera,πότνια,,Iliad,1,568,descriptor,,,,Narration,Narrator,
796,Hephaestus,κλυτοτέχνης,,Iliad,1,571,epithet,,,,Narration,Narrator,
798,Hera,λευκωλένῳ,,Iliad,1,572,epithet,,,,Narration,Narrator,
805,Zeus,Διί,,Iliad,1,578,epithet,,,,Direct,Hephaestus,
807,Zeus,Ὀλύμπιος,,Iliad,1,580,epithet,,,,Direct,Hephaestus,
807,Zeus,ἀστεροπητὴς,,Iliad,1,580,epithet,,,,Direct,Hephaestus,
808,Zeus,πολὺ φέρτατός,,Iliad,1,581,descriptor,,,,Direct,Hephaestus,
810,Zeus,Ὀλύμπιος,,Iliad,1,583,epithet,,,,Direct,Hephaestus,
819,Zeus,Ὀλύμπιος,,Iliad,1,589,epithet,,,,Direct,Hephaestus,
827,Hera,θεὰ,goddess,Iliad,1,595,descriptor,,,,Narration,Narrator,
827,Hera,λευκώλενος,,Iliad,1,595,epithet,,,,Narration,Narrator,
831,gods,μακάρεσσι,,Iliad,1,599,epithet,,,,Narration,Narrator,
841,Hephaestus,περικλυτὸς,,Iliad,1,607,descriptor,,,,Narration,Narrator,
841,Hephaestus,ἀμφιγυήεις,,Iliad,1,607,epithet,,,,Narration,Narrator,
843,Zeus,Ὀλύμπιος,,Iliad,1,609,epithet,,,,Narration,Narrator,
843,Zeus,ἀστεροπητής,,Iliad,1,609,epithet,,,,Narration,Narrator,
845,Hera,χρυσόθρονος,,Iliad,1,611,epithet,,,,Narration,Narrator,
850,men,ἱπποκορυσταὶ,,Iliad,2,1,epithet,,,,Narration,Narrator,
851,Zeus,Δία,,Iliad,2,2,epithet,,,,Narration,Narrator,
855,Agamemnon,Ἀτρεΐδῃ,of Atreus,Iliad,2,6,epithet,patronym,Atreus,,Narration,Narrator,
858,ship,θοὰς,,Iliad,2,8,epithet,,,,Direct,Zeus,
859,Agamemnon,Ἀτρεΐδαο,of Atreus,Iliad,2,9,epithet,patronym,Atreus,,Direct,Zeus,
861,Achaean,κομόωντας,,Iliad,2,11,epithet,,,,Direct,Zeus,
862,Troy,εὐρυάγυιαν,,Iliad,2,12,descriptor,,,,Direct,Zeus,
864,gods,ἀθάνατοι,,Iliad,2,14,descriptor,,,,Direct,Zeus,
